COUNTRY_CODE,COUNTRY_NAME,CONFIRMED,DEATHS,RECOVERED,ACTIVE,REGION_NAME,REGION_CODE,REPORT_ID,REPORT_DATE,PROV_ID,PROV_NAME,DATA_ID
75,Haiti,7340,158,4365,2817,Americas,1,75,2020-05-24,2,WHO,75
76,Holy See,12,0,12,0,Europe,2,76,2020-05-25,2,WHO,76
77,Honduras,39741,1166,5039,33536,Americas,1,77,2020-05-26,2,WHO,77
78,Hungary,4448,596,3329,523,Europe,2,78,2020-05-27,2,WHO,78
79,Iceland,1854,10,1823,21,Europe,2,79,2020-05-28,2,WHO,79
80,India,1480073,33408,951166,495499,South-East Asia,6,80,2020-05-29,2,WHO,80
81,Indonesia,100303,4838,58173,37292,South-East Asia,6,81,2020-05-30,2,WHO,81
82,Iran,293606,15912,255144,22550,Eastern Mediterranean,5,82,2020-05-31,2,WHO,82
83,Iraq,112585,4458,77144,30983,Eastern Mediterranean,5,83,2020-06-01,2,WHO,83
84,Ireland,25892,1764,23364,764,Europe,2,84,2020-06-02,2,WHO,84
85,Israel,63985,474,27133,36378,Europe,2,85,2020-06-03,2,WHO,85
86,Italy,246286,35112,198593,12581,Europe,2,86,2020-06-04,2,WHO,86
87,Jamaica,853,10,714,129,Americas,1,87,2020-06-05,2,WHO,87
88,Japan,31142,998,21970,8174,Western Pacific,4,88,2020-06-06,2,WHO,88
89,Jordan,1176,11,1041,124,Eastern Mediterranean,5,89,2020-06-07,2,WHO,89
90,Kazakhstan,84648,585,54404,29659,Europe,2,90,2020-06-08,2,WHO,90
91,Kenya,17975,285,7833,9857,Africa,3,91,2020-06-09,2,WHO,91
92,Kosovo,7413,185,4027,3201,Europe,2,92,2020-06-10,2,WHO,92
93,Kuwait,64379,438,55057,8884,Eastern Mediterranean,5,93,2020-06-11,2,WHO,93
94,Kyrgyzstan,33296,1301,21205,10790,Europe,2,94,2020-06-12,2,WHO,94
95,Laos,20,0,19,1,Western Pacific,4,95,2020-06-13,2,WHO,95
96,Latvia,1219,31,1045,143,Europe,2,96,2020-06-14,2,WHO,96
97,Lebanon,3882,51,1709,2122,Eastern Mediterranean,5,97,2020-06-15,2,WHO,97
98,Lesotho,505,12,128,365,Africa,3,98,2020-06-16,2,WHO,98
99,Liberia,1167,72,646,449,Africa,3,99,2020-06-17,2,WHO,99
100,Libya,2827,64,577,2186,Eastern Mediterranean,5,100,2020-06-18,2,WHO,100
101,Liechtenstein,86,1,81,4,Europe,2,101,2020-06-19,2,WHO,101
102,Lithuania,2019,80,1620,319,Europe,2,102,2020-06-20,2,WHO,102
103,Luxembourg,6321,112,4825,1384,Europe,2,103,2020-06-21,2,WHO,103
104,Madagascar,9690,91,6260,3339,Africa,3,104,2020-06-22,2,WHO,104
105,Malawi,3664,99,1645,1920,Africa,3,105,2020-06-23,2,WHO,105
